TYPE;EVENTNAME;TEXT/SOUND;ROOM;PERSON;TIME;Telltime;TTC;£
AUDIO;audiointro3;BedroomDoorToLivingRoomClose;B;NA;26;0.84;26.84;
AUDIO;audiointro2door2;LivingRoomDoorToBedroomOpen;B;NA;76;0.81;76.81;
AUDIO;audiointro3door3;LivingRoomDoorToBedroomClose;B;NA;78;0.84;78.84;
AUDIO;audiointro4;BedroomDoorToLivingRoomOpen;L;NA;76;0.81;76.81;
AUDIO;audiointro5;BedroomDoorToLivingRoomClose;L;NA;78;0.84;78.84;
AUDIO;audiointro6;LivingRoomWardrobeZipper;L;NA;113;0.72;113.72;
AUDIO;audiointro7;LivingRoomExitDoorOpen;L;NA;118;0.66;118.66;
AUDIO;audiointro8;LivingRoomExitDoorCloseSlam;L;NA;120;0.81;120.81;
AUDIO;audiointro9;LivingRoomSofaSitOn;L;NA;123;0.57;123.57;
AUDIO;audiointro10;LivingRoomTVOn;L;NA;126;0.42;126.42;
AUDIO;audiointro11;LivingRoomTVInterview;L;NA;126;0.63;126.63;
TEXT;phone1;“Hey, man.”;L;Troma;140;0.33;140.33;
TEXT;phone2;“Oh… otherwise, I was just thinking… remember the thing we talked about yesterday? At the mall—Yes, exactly. I was just thinking, couldn’t we do that a bit sooner? Like, no rush or anything, I’m just…”;L;Troma;143;6.03;149.03;
TEXT;phone3;“What?”;L;Troma;151;0.21;151.21;
TEXT;phone4;“Uh-huh.”;L;Troma;153;0.27;153.27;
TEXT;phone5;“Yeah.”;L;Troma;155;0.21;155.21;
TEXT;phone6;“No, no. Man, I get it. It’s… Yes. Ok, but listen. I’m—I had a bit of a spat here and I’m rambling okay? Just… Yes. Yes.”;L;Troma;158;3.63;161.63;
TEXT;phone7;“Really? Oh shit. Shit.”;L;Troma;163;0.72;163.72;
TEXT;phone8;“Ok. Well, that complicates things. I see. No problem. We can hold off. Yeah, let’s wait for him to get out of the hospital. Rasi hasn’t come yet either, so we can wait. It’s fine. Totally.”;L;Troma;167;5.7;172.7;
TEXT;phone9;“Yeah, man. You coming over Wednesday?”;L;Troma;175;1.17;176.17;
TEXT;phone10;“Cool. See ya.”;L;Troma;179;0.45;179.45;
AUDIO;phone11;LivingRoomSofaPhoneRing;L;NA;138;0.69;138.69;
